Taxon name,category
Acanthocyclops americanus,ZP
Acartia tonsa,ZP
Amphibalanus amphitrite,ZB
Amphibalanus eburneus,ZB
Amphibalanus improvisus,ZB
Apionsoma (Apionsoma) misakianum,ZB
Aporrectodea trapezoides,ZB
Arcuatula senhousia,ZB
Armadillidium nasatum,ZB
Ascidiella aspersa,ZB
Asparagopsis armata,PB
Asparagopsis taxiformis,PB
Aurelia solida,ZP
Austrominius modestus,ZB
Balanus trigonus,ZB
Boccardia proboscidea,ZB
Bonnemaisonia hamifera,PB
Botrylloides violaceus,ZB
Bugula neritina,ZB
Caprella mutica,ZB
Caprella scaura,ZB
Celleporaria brunnea,ZB
Cephalothrix simula,ZB
Cercopagis pengoi,ZP
Corambe obscura,ZB
Cordylophora caspia,ZB
Corella eumyota,ZB
Crepidula fornicata,ZB
Cutleria multifida,PB
Dasysiphonia japonica,PB
Ensis directus /Ensis leei,ZB
Eucheilota menoni,ZP
Euphysa tentaculata,ZP
Evadne anonyx,ZP
Fenestrulina delicia,ZB
Fibrocapsa japonica,PP
Ficopomatus enigmaticus,ZB
Gammarus tigrinus,ZB
Gonionemus vertens,ZP
Haloa japonica,ZB
Halothrix lumbricalis,PB
Haminella solitaria,ZB
Hemigrapsus takanoi,ZB
Herdmania momus,ZB
Hydroides elegans,ZB
Juxtacribrilina mutabilis,ZB
Leptosiphonia fibrillosa,PB
Marenzelleria arctia,ZB
Marenzelleria neglecta,ZB
Marenzelleria viridis,ZB
Mawia benovici,ZP
Melanothamnus harveyi,PB
Mnemiopsis leidyi,PP
Monocorophium acherusicum,ZB
Monocorophium sextonae,ZB
Mytilicola orientalis,ZB
Neogobius melanostomus,ZB
Nitokra hibernica,ZP
Oithona davisae,ZP
Ostreopsis ovata,ZP
Palaemon elegans,ZP
Paracerceis sculpta,ZB
Paranthura japonica,ZB
Parathalestris harpactoides,ZP
Perophora japonica,ZB
Petricolaria pholadiformis,ZB
Pleurosira laevis,PP
Polycerella emertoni,ZB
Polydora cornuta,ZB
Polydora websteri,ZB
Polysiphonia brodiei,PB
Potamopyrgus antipodarum,ZB
Pseudocalanus acuspes,ZP
Pseudocalanus mimus,ZP
Pseudodiaptomus marinus,ZP
Rangia cuneata,ZB
Rhithropanopeus harrisii,ZB
Rhodochorton tenue,PB
Schizoporella japonica,ZB
Sinelobus vanhaareni,ZB
Smittoidea prolifica,ZB
Streblospio benedicti,ZB
Stylochus ellipticus,ZB
Telmatogeton japonicus,INSECT
Thalassiosira punctigera,PP
Tharyx setigera,ZB
Torquigener flavimaculosus,ZB
Xenostrobus securis,ZB
